date,ward,sub_county,ward_code,lat,lon,temperature_2m_mean,precipitation_sum,relative_humidity_2m_mean,soil_moisture_0_to_7cm_mean,soil_temperature_0_to_7cm_mean
1/23/2000,,Bondo,,-0.096913667,34.18569167,23.7,0.2,73,0.34,24.6
1/24/2000,,Bondo,,-0.096913667,34.18569167,23.6,1.4,75,0.343,24.8
1/25/2000,,Bondo,,-0.096913667,34.18569167,23.7,0.1,67,0.33,24.4
1/26/2000,,Bondo,,-0.096913667,34.18569167,23.9,0,54,0.313,24.3
1/27/2000,,Bondo,,-0.096913667,34.18569167,24,0,52,0.297,24.4
1/28/2000,,Bondo,,-0.096913667,34.18569167,23.7,0,56,0.283,24.3
1/29/2000,,Bondo,,-0.096913667,34.18569167,24.3,0,57,0.271,25
1/30/2000,,Bondo,,-0.096913667,34.18569167,24.4,0,57,0.26,25.5
1/31/2000,,Bondo,,-0.096913667,34.18569167,24.5,0,58,0.25,25.5
2/1/2000,,Bondo,,-0.096913667,34.18569167,24.3,0,57,0.24,25.3
2/2/2000,,Bondo,,-0.096913667,34.18569167,23,4.2,75,0.242,24.8
2/3/2000,,Bondo,,-0.096913667,34.18569167,23.1,4.3,73,0.253,24.7
2/4/2000,,Bondo,,-0.096913667,34.18569167,23.1,3,74,0.26,24.5
2/5/2000,,Bondo,,-0.096913667,34.18569167,22.9,1,77,0.264,24.4
2/6/2000,,Bondo,,-0.096913667,34.18569167,23,2,75,0.266,24.3
2/7/2000,,Bondo,,-0.096913667,34.18569167,22.7,5.6,76,0.294,24.4
2/8/2000,,Bondo,,-0.096913667,34.18569167,21.9,10.2,82,0.322,23.7
2/9/2000,,Bondo,,-0.096913667,34.18569167,22.3,4.4,79,0.325,24
2/10/2000,,Bondo,,-0.096913667,34.18569167,22.5,6.1,78,0.338,24.1
2/11/2000,,Bondo,,-0.096913667,34.18569167,23.6,0.4,69,0.326,25
2/12/2000,,Bondo,,-0.096913667,34.18569167,23.9,0,62,0.302,25.1
2/13/2000,,Bondo,,-0.096913667,34.18569167,23.9,0.1,64,0.283,24.8
2/14/2000,,Bondo,,-0.096913667,34.18569167,23.9,0.9,71,0.27,25.2
2/15/2000,,Bondo,,-0.096913667,34.18569167,24.6,0,65,0.26,25.9
2/16/2000,,Bondo,,-0.096913667,34.18569167,24.1,0.2,70,0.25,25.5
2/17/2000,,Bondo,,-0.096913667,34.18569167,24,0.6,70,0.242,25.5
2/18/2000,,Bondo,,-0.096913667,34.18569167,23.5,0.1,71,0.238,25.2
2/19/2000,,Bondo,,-0.096913667,34.18569167,23.1,2,77,0.242,25.1
2/20/2000,,Bondo,,-0.096913667,34.18569167,24.5,0,63,0.241,25.8
2/21/2000,,Bondo,,-0.096913667,34.18569167,24.7,0,53,0.227,25.8
2/22/2000,,Bondo,,-0.096913667,34.18569167,24.8,0,57,0.214,26
2/23/2000,,Bondo,,-0.096913667,34.18569167,24.5,0,67,0.204,26.2
2/24/2000,,Bondo,,-0.096913667,34.18569167,25.2,0,63,0.197,26.7
2/25/2000,,Bondo,,-0.096913667,34.18569167,24.5,0.1,69,0.192,26
2/26/2000,,Bondo,,-0.096913667,34.18569167,23.1,7.9,77,0.217,25.1
2/27/2000,,Bondo,,-0.096913667,34.18569167,24.4,2.2,67,0.229,26.2
2/28/2000,,Bondo,,-0.096913667,34.18569167,24.6,2.2,69,0.223,26.2
2/29/2000,,Bondo,,-0.096913667,34.18569167,21.8,22.3,83,0.317,24
3/1/2000,,Bondo,,-0.096913667,34.18569167,22.3,5.3,77,0.349,24.4
3/2/2000,,Bondo,,-0.096913667,34.18569167,23.4,0.4,72,0.321,25
3/3/2000,,Bondo,,-0.096913667,34.18569167,24.5,0,65,0.296,25.8
3/4/2000,,Bondo,,-0.096913667,34.18569167,23.1,15.2,77,0.322,24.8
3/5/2000,,Bondo,,-0.096913667,34.18569167,24.3,0.1,69,0.326,25.6
3/6/2000,,Bondo,,-0.096913667,34.18569167,24.2,0.1,73,0.298,25.7
3/7/2000,,Bondo,,-0.096913667,34.18569167,23.7,5.6,76,0.312,25.5
3/8/2000,,Bondo,,-0.096913667,34.18569167,21.8,19.6,83,0.385,24.5
3/9/2000,,Bondo,,-0.096913667,34.18569167,21.8,5.6,81,0.389,24
3/10/2000,,Bondo,,-0.096913667,34.18569167,23.8,1.2,71,0.356,25.1
3/11/2000,,Bondo,,-0.096913667,34.18569167,22.9,6.1,80,0.369,24.8
3/12/2000,,Bondo,,-0.096913667,34.18569167,22.6,10.8,82,0.379,24.4
3/13/2000,,Bondo,,-0.096913667,34.18569167,24.3,0.3,71,0.364,25.4
3/14/2000,,Bondo,,-0.096913667,34.18569167,23.4,7,79,0.376,25
3/15/2000,,Bondo,,-0.096913667,34.18569167,22.8,13.5,81,0.383,24.7
3/16/2000,,Bondo,,-0.096913667,34.18569167,22.6,3.9,81,0.38,24.4
3/17/2000,,Bondo,,-0.096913667,34.18569167,22.7,2,80,0.371,24.4
3/18/2000,,Bondo,,-0.096913667,34.18569167,22.8,2.4,80,0.362,24.4
3/19/2000,,Bondo,,-0.096913667,34.18569167,23.1,2.4,79,0.352,24.7
3/20/2000,,Bondo,,-0.096913667,34.18569167,23.2,2.2,77,0.364,24.8
3/21/2000,,Bondo,,-0.096913667,34.18569167,24.4,0.1,71,0.344,25.9
3/22/2000,,Bondo,,-0.096913667,34.18569167,25.4,0.2,62,0.323,26.3
3/23/2000,,Bondo,,-0.096913667,34.18569167,24.8,0,61,0.305,26.1
3/24/2000,,Bondo,,-0.096913667,34.18569167,24.2,2.8,75,0.301,26
3/25/2000,,Bondo,,-0.096913667,34.18569167,21.4,18.6,83,0.392,24.1
3/26/2000,,Bondo,,-0.096913667,34.18569167,21.4,6.8,82,0.398,23.7
3/27/2000,,Bondo,,-0.096913667,34.18569167,22.1,1.8,80,0.374,24
3/28/2000,,Bondo,,-0.096913667,34.18569167,22.9,1.5,79,0.363,24.3
3/29/2000,,Bondo,,-0.096913667,34.18569167,22.9,7.6,80,0.384,24.6
3/30/2000,,Bondo,,-0.096913667,34.18569167,22.8,5.4,81,0.389,24.6
3/31/2000,,Bondo,,-0.096913667,34.18569167,22.7,3.5,79,0.383,24.4
4/1/2000,,Bondo,,-0.096913667,34.18569167,23,3,81,0.371,24.2
4/2/2000,,Bondo,,-0.096913667,34.18569167,23,7.5,80,0.389,24.4
4/3/2000,,Bondo,,-0.096913667,34.18569167,22.9,8.1,80,0.402,24.8
4/4/2000,,Bondo,,-0.096913667,34.18569167,21.2,8.5,86,0.413,22.8
4/5/2000,,Bondo,,-0.096913667,34.18569167,21.6,8.5,83,0.41,23.1
4/6/2000,,Bondo,,-0.096913667,34.18569167,21.6,7.3,81,0.405,23.1
4/7/2000,,Bondo,,-0.096913667,34.18569167,22.4,9.2,76,0.39,23.9
4/8/2000,,Bondo,,-0.096913667,34.18569167,21.8,9.5,81,0.406,23.8
4/9/2000,,Bondo,,-0.096913667,34.18569167,22.1,7.1,81,0.404,23.8
4/10/2000,,Bondo,,-0.096913667,34.18569167,22.7,17.4,80,0.401,24.3
4/11/2000,,Bondo,,-0.096913667,34.18569167,22.8,34.2,80,0.411,24.4
4/12/2000,,Bondo,,-0.096913667,34.18569167,23.1,3.1,81,0.402,24.6
4/13/2000,,Bondo,,-0.096913667,34.18569167,23.3,3.5,79,0.401,24.9
4/14/2000,,Bondo,,-0.096913667,34.18569167,22.7,4.1,82,0.397,24.4
4/15/2000,,Bondo,,-0.096913667,34.18569167,21.2,19.7,86,0.417,23.1
4/16/2000,,Bondo,,-0.096913667,34.18569167,21.8,3,83,0.407,22.8
4/17/2000,,Bondo,,-0.096913667,34.18569167,22.6,3.7,82,0.404,23.2
4/18/2000,,Bondo,,-0.096913667,34.18569167,23.2,3.9,81,0.399,24
4/19/2000,,Bondo,,-0.096913667,34.18569167,23.7,3.3,78,0.388,24.7
4/20/2000,,Bondo,,-0.096913667,34.18569167,23.3,6.5,80,0.398,24.8
4/21/2000,,Bondo,,-0.096913667,34.18569167,23.1,0.7,81,0.381,24.5
4/22/2000,,Bondo,,-0.096913667,34.18569167,22.1,11.8,83,0.391,23.6
4/23/2000,,Bondo,,-0.096913667,34.18569167,22.1,2.2,81,0.402,23.5
4/24/2000,,Bondo,,-0.096913667,34.18569167,22.8,3.8,81,0.383,24.1
4/25/2000,,Bondo,,-0.096913667,34.18569167,22.3,8.5,83,0.401,23.7
4/26/2000,,Bondo,,-0.096913667,34.18569167,23.2,4.4,77,0.393,24.3
4/27/2000,,Bondo,,-0.096913667,34.18569167,22.8,2.7,78,0.397,24.1
4/28/2000,,Bondo,,-0.096913667,34.18569167,22.2,4.7,82,0.398,23.8
4/29/2000,,Bondo,,-0.096913667,34.18569167,22.9,11.9,79,0.4,24.2
4/30/2000,,Bondo,,-0.096913667,34.18569167,22.8,10.3,77,0.405,24.5
5/1/2000,,Bondo,,-0.096913667,34.18569167,22.4,10.9,82,0.41,24.2
5/2/2000,,Bondo,,-0.096913667,34.18569167,22.6,9,81,0.41,24.3
5/3/2000,,Bondo,,-0.096913667,34.18569167,23.1,5.8,78,0.405,24.6
5/4/2000,,Bondo,,-0.096913667,34.18569167,23.3,3.9,77,0.398,24.6
5/5/2000,,Bondo,,-0.096913667,34.18569167,23.7,5.3,75,0.391,25
5/6/2000,,Bondo,,-0.096913667,34.18569167,23.2,10.5,79,0.409,24.7
5/7/2000,,Bondo,,-0.096913667,34.18569167,24.3,6.8,70,0.402,24.9
5/8/2000,,Bondo,,-0.096913667,34.18569167,22.9,10.6,81,0.402,24.7
5/9/2000,,Bondo,,-0.096913667,34.18569167,22.3,12.6,82,0.415,24.1
5/10/2000,,Bondo,,-0.096913667,34.18569167,23,1.3,76,0.405,24.1
5/11/2000,,Bondo,,-0.096913667,34.18569167,22.1,14.1,81,0.413,23.8
5/12/2000,,Bondo,,-0.096913667,34.18569167,21,14.2,87,0.42,22.3
5/13/2000,,Bondo,,-0.096913667,34.18569167,21.7,11,82,0.416,23
5/14/2000,,Bondo,,-0.096913667,34.18569167,22.3,7.3,80,0.411,23.5
5/15/2000,,Bondo,,-0.096913667,34.18569167,22.8,4,78,0.401,23.8
5/16/2000,,Bondo,,-0.096913667,34.18569167,22.4,13.8,82,0.404,23.7
5/17/2000,,Bondo,,-0.096913667,34.18569167,23.1,2.8,79,0.392,24.1
5/18/2000,,Bondo,,-0.096913667,34.18569167,23.1,1.7,81,0.384,24.3
5/19/2000,,Bondo,,-0.096913667,34.18569167,22.8,3.6,79,0.397,24
5/20/2000,,Bondo,,-0.096913667,34.18569167,23.8,0,71,0.372,24.1
5/21/2000,,Bondo,,-0.096913667,34.18569167,23.9,0.3,74,0.357,24.4
5/22/2000,,Bondo,,-0.096913667,34.18569167,23.7,0.4,77,0.346,24.6
5/23/2000,,Bondo,,-0.096913667,34.18569167,23.8,0.9,75,0.338,24.4
5/24/2000,,Bondo,,-0.096913667,34.18569167,23.9,0.8,75,0.329,24.7
5/25/2000,,Bondo,,-0.096913667,34.18569167,23.2,1.2,77,0.324,24.4
5/26/2000,,Bondo,,-0.096913667,34.18569167,22.7,3.6,80,0.321,24.1
5/27/2000,,Bondo,,-0.096913667,34.18569167,23.7,1.7,71,0.314,24.4
5/28/2000,,Bondo,,-0.096913667,34.18569167,22.6,4.3,79,0.33,23.8
5/29/2000,,Bondo,,-0.096913667,34.18569167,23,1.6,77,0.335,23.9
5/30/2000,,Bondo,,-0.096913667,34.18569167,22.4,5.5,80,0.36,23.8
5/31/2000,,Bondo,,-0.096913667,34.18569167,23.2,1.9,75,0.35,24.1
6/1/2000,,Bondo,,-0.096913667,34.18569167,23.4,1.3,77,0.334,24.4
6/2/2000,,Bondo,,-0.096913667,34.18569167,23.5,2.6,75,0.329,24.2
6/3/2000,,Bondo,,-0.096913667,34.18569167,23.4,3.9,71,0.337,24.1
6/4/2000,,Bondo,,-0.096913667,34.18569167,23.1,3.2,75,0.33,23.9
6/5/2000,,Bondo,,-0.096913667,34.18569167,22.4,4.5,78,0.331,23.8
6/6/2000,,Bondo,,-0.096913667,34.18569167,22.5,2.9,77,0.328,23.6
6/7/2000,,Bondo,,-0.096913667,34.18569167,22.2,5.8,76,0.331,23.4
6/8/2000,,Bondo,,-0.096913667,34.18569167,22.4,2.7,72,0.328,23.4
6/9/2000,,Bondo,,-0.096913667,34.18569167,21.9,7.8,77,0.357,23.3
6/10/2000,,Bondo,,-0.096913667,34.18569167,22.5,0.3,73,0.341,23.7
6/11/2000,,Bondo,,-0.096913667,34.18569167,23.1,0.2,69,0.321,24
6/12/2000,,Bondo,,-0.096913667,34.18569167,23.5,0.9,69,0.305,24.2
6/13/2000,,Bondo,,-0.096913667,34.18569167,23.3,3.7,69,0.298,24
6/14/2000,,Bondo,,-0.096913667,34.18569167,23.3,0,65,0.291,24
6/15/2000,,Bondo,,-0.096913667,34.18569167,22.6,4.5,72,0.291,23.8
6/16/2000,,Bondo,,-0.096913667,34.18569167,22.3,6.5,74,0.303,23.4
6/17/2000,,Bondo,,-0.096913667,34.18569167,22.7,2.2,69,0.324,23.5
6/18/2000,,Bondo,,-0.096913667,34.18569167,23,0.2,67,0.307,23.5
6/19/2000,,Bondo,,-0.096913667,34.18569167,23.3,0,64,0.289,23.8
6/20/2000,,Bondo,,-0.096913667,34.18569167,22.9,2.3,71,0.279,24
6/21/2000,,Bondo,,-0.096913667,34.18569167,22.3,10.1,78,0.317,23.2
6/22/2000,,Bondo,,-0.096913667,34.18569167,22.4,2.7,75,0.323,23.6
6/23/2000,,Bondo,,-0.096913667,34.18569167,22.3,2.6,70,0.31,23.4
6/24/2000,,Bondo,,-0.096913667,34.18569167,22.2,1.2,71,0.299,23.3
6/25/2000,,Bondo,,-0.096913667,34.18569167,20.8,6.7,81,0.344,22.2
6/26/2000,,Bondo,,-0.096913667,34.18569167,20.8,8.5,81,0.36,22.1
6/27/2000,,Bondo,,-0.096913667,34.18569167,21.4,4.8,77,0.345,22.6
6/28/2000,,Bondo,,-0.096913667,34.18569167,21.7,2.3,77,0.353,22.8
6/29/2000,,Bondo,,-0.096913667,34.18569167,22,2.9,73,0.345,23.2
6/30/2000,,Bondo,,-0.096913667,34.18569167,21.8,1.8,73,0.332,23.2
7/1/2000,,Bondo,,-0.096913667,34.18569167,21.7,4.7,76,0.326,23.1
7/2/2000,,Bondo,,-0.096913667,34.18569167,21.8,4.5,74,0.328,23
7/3/2000,,Bondo,,-0.096913667,34.18569167,22,1.6,71,0.329,23
7/4/2000,,Bondo,,-0.096913667,34.18569167,21.4,7.1,76,0.338,22.7
7/5/2000,,Bondo,,-0.096913667,34.18569167,21.6,2.6,74,0.34,22.8
7/6/2000,,Bondo,,-0.096913667,34.18569167,21.2,1.9,74,0.34,22
7/7/2000,,Bondo,,-0.096913667,34.18569167,22,0.5,75,0.323,22.9
7/8/2000,,Bondo,,-0.096913667,34.18569167,22.2,0.4,74,0.311,23
7/9/2000,,Bondo,,-0.096913667,34.18569167,22.5,2,71,0.303,23.5
7/10/2000,,Bondo,,-0.096913667,34.18569167,22.2,3.4,74,0.297,23.3
7/11/2000,,Bondo,,-0.096913667,34.18569167,22.6,0.7,69,0.292,23.5
7/12/2000,,Bondo,,-0.096913667,34.18569167,22.5,0.7,71,0.287,23.7
7/13/2000,,Bondo,,-0.096913667,34.18569167,22.4,0.1,71,0.281,23.6
7/14/2000,,Bondo,,-0.096913667,34.18569167,23.1,0.1,69,0.271,24.1
7/15/2000,,Bondo,,-0.096913667,34.18569167,23,0.2,72,0.261,24.4
7/16/2000,,Bondo,,-0.096913667,34.18569167,22.8,1,76,0.256,24.1
7/17/2000,,Bondo,,-0.096913667,34.18569167,23.7,0,65,0.25,24.3
7/18/2000,,Bondo,,-0.096913667,34.18569167,21.9,5.8,77,0.254,23.5
7/19/2000,,Bondo,,-0.096913667,34.18569167,22.4,0.3,71,0.255,23.8
7/20/2000,,Bondo,,-0.096913667,34.18569167,22.5,0.1,70,0.246,23.6
7/21/2000,,Bondo,,-0.096913667,34.18569167,22.5,0.3,72,0.239,23.8
7/22/2000,,Bondo,,-0.096913667,34.18569167,21.5,3.5,75,0.241,23.3
7/23/2000,,Bondo,,-0.096913667,34.18569167,21.5,0.2,74,0.251,23
7/24/2000,,Bondo,,-0.096913667,34.18569167,22,0.9,67,0.248,23.3
7/25/2000,,Bondo,,-0.096913667,34.18569167,21.7,5.7,70,0.246,23.3
7/26/2000,,Bondo,,-0.096913667,34.18569167,21.3,3.8,76,0.282,23.2
7/27/2000,,Bondo,,-0.096913667,34.18569167,21.9,4.2,70,0.288,23.3
7/28/2000,,Bondo,,-0.096913667,34.18569167,22,1.1,68,0.276,23.6
7/29/2000,,Bondo,,-0.096913667,34.18569167,22.3,0.1,70,0.263,23.6
7/30/2000,,Bondo,,-0.096913667,34.18569167,22.8,1,69,0.251,23.9
7/31/2000,,Bondo,,-0.096913667,34.18569167,23.1,0,62,0.24,24
8/1/2000,,Bondo,,-0.096913667,34.18569167,22.9,2.9,67,0.237,24.1
8/2/2000,,Bondo,,-0.096913667,34.18569167,22.5,3.5,73,0.243,24.1
8/3/2000,,Bondo,,-0.096913667,34.18569167,23,0.1,63,0.239,24.6
8/4/2000,,Bondo,,-0.096913667,34.18569167,22.8,3.5,66,0.23,24.3
8/5/2000,,Bondo,,-0.096913667,34.18569167,22.9,0.1,61,0.223,24
8/6/2000,,Bondo,,-0.096913667,34.18569167,22.5,0.5,64,0.218,24.2
8/7/2000,,Bondo,,-0.096913667,34.18569167,21.7,2.1,71,0.217,23.8
8/8/2000,,Bondo,,-0.096913667,34.18569167,22.6,0.2,68,0.212,24.4
8/9/2000,,Bondo,,-0.096913667,34.18569167,22.9,0.7,70,0.207,24.3
8/10/2000,,Bondo,,-0.096913667,34.18569167,22,2,75,0.204,24.2
8/11/2000,,Bondo,,-0.096913667,34.18569167,22.4,0.1,73,0.202,24.2
8/12/2000,,Bondo,,-0.096913667,34.18569167,22.5,1.8,73,0.2,24.3
8/13/2000,,Bondo,,-0.096913667,34.18569167,22.1,3.9,72,0.205,24.1
8/14/2000,,Bondo,,-0.096913667,34.18569167,22.4,2.7,72,0.225,24.3
8/15/2000,,Bondo,,-0.096913667,34.18569167,20.4,8.5,83,0.335,22.6
8/16/2000,,Bondo,,-0.096913667,34.18569167,21.6,4.1,74,0.347,23.2
8/17/2000,,Bondo,,-0.096913667,34.18569167,21.7,4.4,73,0.322,23.5
8/18/2000,,Bondo,,-0.096913667,34.18569167,21.6,7.3,74,0.33,23.5
8/19/2000,,Bondo,,-0.096913667,34.18569167,21.1,8.9,80,0.368,23
8/20/2000,,Bondo,,-0.096913667,34.18569167,22.6,0.2,70,0.331,24
8/21/2000,,Bondo,,-0.096913667,34.18569167,23,0,64,0.304,23.9
8/22/2000,,Bondo,,-0.096913667,34.18569167,23,0.2,67,0.285,24.4
8/23/2000,,Bondo,,-0.096913667,34.18569167,23.2,0,64,0.269,24.7
8/24/2000,,Bondo,,-0.096913667,34.18569167,23.2,0.6,68,0.255,24.7
8/25/2000,,Bondo,,-0.096913667,34.18569167,22.9,2.3,71,0.248,24.7
8/26/2000,,Bondo,,-0.096913667,34.18569167,23.2,0.5,67,0.242,24.7
8/27/2000,,Bondo,,-0.096913667,34.18569167,22.5,2.3,74,0.256,24.6
8/28/2000,,Bondo,,-0.096913667,34.18569167,22.4,7,73,0.284,24.5
8/29/2000,,Bondo,,-0.096913667,34.18569167,22.9,4.4,71,0.296,24.7
8/30/2000,,Bondo,,-0.096913667,34.18569167,22.9,5.7,75,0.283,24.7
8/31/2000,,Bondo,,-0.096913667,34.18569167,23,2.7,75,0.28,24.6
9/1/2000,,Bondo,,-0.096913667,34.18569167,23.9,0,67,0.268,25.3
9/2/2000,,Bondo,,-0.096913667,34.18569167,24,3.1,70,0.253,25.4
9/3/2000,,Bondo,,-0.096913667,34.18569167,24.5,0,61,0.241,26.1
9/4/2000,,Bondo,,-0.096913667,34.18569167,24.4,0.5,62,0.226,26.2
9/5/2000,,Bondo,,-0.096913667,34.18569167,23.6,4.8,71,0.22,25.7
9/6/2000,,Bondo,,-0.096913667,34.18569167,23.9,0.9,67,0.216,26
9/7/2000,,Bondo,,-0.096913667,34.18569167,24.2,0.8,64,0.206,26
9/8/2000,,Bondo,,-0.096913667,34.18569167,24,4.8,65,0.201,26.1
9/9/2000,,Bondo,,-0.096913667,34.18569167,23.7,5.5,66,0.223,25.9
9/10/2000,,Bondo,,-0.096913667,34.18569167,23.3,1.4,70,0.223,25.7
9/11/2000,,Bondo,,-0.096913667,34.18569167,23.2,1.9,71,0.221,25.5
9/12/2000,,Bondo,,-0.096913667,34.18569167,23.9,0.5,63,0.215,25.4
9/13/2000,,Bondo,,-0.096913667,34.18569167,24,2,55,0.204,25.8
9/14/2000,,Bondo,,-0.096913667,34.18569167,23.4,7.1,60,0.209,25.5
9/15/2000,,Bondo,,-0.096913667,34.18569167,22.8,3.4,69,0.233,25.1
9/16/2000,,Bondo,,-0.096913667,34.18569167,23.6,0.6,63,0.231,25.6
9/17/2000,,Bondo,,-0.096913667,34.18569167,24.1,0.3,67,0.217,26.1
9/18/2000,,Bondo,,-0.096913667,34.18569167,23.7,3.2,73,0.218,25.8
9/19/2000,,Bondo,,-0.096913667,34.18569167,23.7,2.9,71,0.217,26
9/20/2000,,Bondo,,-0.096913667,34.18569167,24.3,3,64,0.21,26.4
9/21/2000,,Bondo,,-0.096913667,34.18569167,22.1,6.5,75,0.231,24.4
9/22/2000,,Bondo,,-0.096913667,34.18569167,22.5,2.3,70,0.251,24.9
9/23/2000,,Bondo,,-0.096913667,34.18569167,23.2,1.7,66,0.249,25.3
9/24/2000,,Bondo,,-0.096913667,34.18569167,23.3,5.7,68,0.248,25.3
9/25/2000,,Bondo,,-0.096913667,34.18569167,23.1,7.8,72,0.255,25.3
9/26/2000,,Bondo,,-0.096913667,34.18569167,23.2,5.7,70,0.264,25.1
9/27/2000,,Bondo,,-0.096913667,34.18569167,23.6,4.1,68,0.254,25.5
9/28/2000,,Bondo,,-0.096913667,34.18569167,22.7,6.4,74,0.29,24.9
9/29/2000,,Bondo,,-0.096913667,34.18569167,22.8,1.3,71,0.299,25.2
9/30/2000,,Bondo,,-0.096913667,34.18569167,23.4,3.7,72,0.286,25.4
10/1/2000,,Bondo,,-0.096913667,34.18569167,22.8,11.4,76,0.301,25.1
10/2/2000,,Bondo,,-0.096913667,34.18569167,23.3,2.3,70,0.324,25.1
10/3/2000,,Bondo,,-0.096913667,34.18569167,23.5,0.7,69,0.29,25.5
10/4/2000,,Bondo,,-0.096913667,34.18569167,21.6,17.3,81,0.373,24.4
10/5/2000,,Bondo,,-0.096913667,34.18569167,22.4,8.5,78,0.364,24.5
10/6/2000,,Bondo,,-0.096913667,34.18569167,23.5,1,70,0.33,25.4
10/7/2000,,Bondo,,-0.096913667,34.18569167,23.1,2.3,74,0.312,25.1
10/8/2000,,Bondo,,-0.096913667,34.18569167,22.9,7.2,74,0.344,25
10/9/2000,,Bondo,,-0.096913667,34.18569167,21.7,13.1,80,0.386,24
10/10/2000,,Bondo,,-0.096913667,34.18569167,21.8,6.3,80,0.376,24
10/11/2000,,Bondo,,-0.096913667,34.18569167,22.9,3.4,78,0.36,24.6
10/12/2000,,Bondo,,-0.096913667,34.18569167,23.4,4.9,74,0.357,24.9
10/13/2000,,Bondo,,-0.096913667,34.18569167,23.3,6.9,71,0.352,25.1
10/14/2000,,Bondo,,-0.096913667,34.18569167,23.5,2.1,72,0.335,25.5
10/15/2000,,Bondo,,-0.096913667,34.18569167,23,8.3,78,0.335,25.1
10/16/2000,,Bondo,,-0.096913667,34.18569167,24.1,3.1,69,0.33,25.5
10/17/2000,,Bondo,,-0.096913667,34.18569167,23.1,9.3,71,0.321,25.2
10/18/2000,,Bondo,,-0.096913667,34.18569167,23,8.7,72,0.329,24.8
10/19/2000,,Bondo,,-0.096913667,34.18569167,22.5,8.7,76,0.35,24.4
10/20/2000,,Bondo,,-0.096913667,34.18569167,21.9,10,76,0.369,23.7
10/21/2000,,Bondo,,-0.096913667,34.18569167,20.1,32.4,87,0.423,21.9
10/22/2000,,Bondo,,-0.096913667,34.18569167,21.2,12.5,81,0.414,22.9
10/23/2000,,Bondo,,-0.096913667,34.18569167,22.5,3.2,76,0.394,24.1
10/24/2000,,Bondo,,-0.096913667,34.18569167,23.1,2.7,77,0.38,24.7
10/25/2000,,Bondo,,-0.096913667,34.18569167,23.3,0,80,0.363,24.7
10/26/2000,,Bondo,,-0.096913667,34.18569167,23.8,0.6,76,0.35,25.1
10/27/2000,,Bondo,,-0.096913667,34.18569167,23.4,0.7,78,0.341,25.1
10/28/2000,,Bondo,,-0.096913667,34.18569167,23,4.3,80,0.347,24.8
10/29/2000,,Bondo,,-0.096913667,34.18569167,23.7,0.6,76,0.34,24.9
10/30/2000,,Bondo,,-0.096913667,34.18569167,23.9,4.1,72,0.335,25.4
10/31/2000,,Bondo,,-0.096913667,34.18569167,21.7,10.8,83,0.399,23.8
11/1/2000,,Bondo,,-0.096913667,34.18569167,22,7.8,81,0.39,23.5
11/2/2000,,Bondo,,-0.096913667,34.18569167,22,8.6,82,0.404,23.5
11/3/2000,,Bondo,,-0.096913667,34.18569167,22.4,3.9,80,0.399,23.6
11/4/2000,,Bondo,,-0.096913667,34.18569167,22,15.7,83,0.402,23.3
11/5/2000,,Bondo,,-0.096913667,34.18569167,22.7,1.4,82,0.391,23.7
11/6/2000,,Bondo,,-0.096913667,34.18569167,23,4.4,79,0.38,24.3
11/7/2000,,Bondo,,-0.096913667,34.18569167,22.1,6.3,82,0.393,23.9
