pH,Nitrogen,Phosphorus,Potassium,Organic_Carbon,Soil_Texture,Rainfall_mm,Temperature_C,Market_Price_KES,Farm_Size_ha,Irrigation,Input_Budget_KES,Farmer_Profile,Sub_County,Season,Humidity_pct,market_signal,Recommended_Crop
5.533441,0.128468,13.57103,94.071018,1.635284,Sandy,0.0,23.6,6694.74,1.899803401118008,1,14504.613296731372,Progressive,Bondo,dry,68.0,fair,Cassava
5.724631,0.121,11.155061,137.639485,1.67332,Clayey,270.0,23.3,6759.83,0.9525440251389702,1,10606.544996481953,Mixed,Bondo,dry,76.0,fair,Cassava
5.424275,0.119101,11.417077,120.51602,1.779303,Sandy,135.0,22.6,7017.45,2.4763709371818474,1,16145.83201208707,Progressive,Bondo,dry,80.0,fair,Cassava
5.512428,0.106109,11.264308,100.639011,1.697289,Clayey,540.0,21.7,6971.45,1.528120465457846,0,12036.076521746916,Mixed,Bondo,dry,82.0,fair,Cassava
6.007293,0.126815,12.708496,118.682733,1.592248,Clayey,225.0,22.3,6779.53,1.4245722182834832,1,12937.800232472917,Progressive,Bondo,dry,79.0,fair,Sorghum
5.596055,0.126457,11.493333,109.827122,1.813708,Sandy,0.0,23.6,6701.05,1.1006673051417082,1,9673.135210796863,Mixed,Bondo,dry,69.0,fair,Cassava
5.696369,0.110426,13.539919,130.81404,1.667702,Clayey,18.0,23.7,6492.87,2.961575813521263,1,17385.69044750068,Progressive,Bondo,dry,73.0,fair,Cassava
5.7207,0.132367,14.442072,110.503126,1.560227,Sandy,126.0,23.6,6494.09,1.447220281528932,1,13138.68852744355,Progressive,Bondo,dry,75.0,fair,Cassava
5.665183,0.148481,10.535286,113.449488,1.693162,Clayey,9.0,23.7,6778.48,1.2551681309249023,1,12093.42416671132,Progressive,Bondo,dry,67.0,fair,Cassava
5.592265,0.128429,12.349239,106.495443,1.975969,Clayey,0.0,23.9,6788.27,1.3058975129182944,1,11161.905321687136,Mixed,Bondo,dry,54.0,fair,Cassava
6.153819,0.135014,8.305953,119.77763,1.607784,Loamy,0.0,24.0,6719.55,2.06845256894607,1,12576.060829863804,Progressive,Bondo,dry,52.0,fair,Sorghum
5.551796,0.145054,10.751468,113.802905,1.852366,Sandy,0.0,23.7,6567.1,1.89653950701462,1,15080.586393648828,Progressive,Bondo,dry,56.0,fair,Cassava
5.521221,0.126655,11.940113,128.996635,1.524199,Clayey,0.0,24.3,6947.7,1.943753617486376,1,14243.86898759492,Progressive,Bondo,dry,57.0,fair,Cassava
5.798127,0.14334,11.462155,117.698595,1.726398,Clayey,0.0,24.4,6562.38,1.962122747385384,1,14171.379079644285,Progressive,Bondo,dry,57.0,fair,Cassava
5.44302,0.085815,11.660456,143.326544,1.776445,Clayey,0.0,24.5,6854.15,4.77625493231015,1,22653.275274269414,Commercial,Bondo,dry,58.0,fair,Cassava
5.904245,0.114527,13.036595,112.320278,1.547969,Clayey,0.0,24.3,6943.15,1.2695521385690844,1,11971.491187450383,Mixed,Bondo,dry,57.0,fair,Sorghum
5.659783,0.107436,13.495833,104.487999,1.650827,Clayey,378.0,23.0,6756.19,1.2015757025179112,1,10973.37449139681,Mixed,Bondo,dry,75.0,fair,Cassava
5.725806,0.15265,7.222846,105.300107,1.532285,Clayey,387.0,23.1,6995.46,1.0272015689028673,1,9666.054174254125,Mixed,Bondo,dry,73.0,fair,Cassava
5.759105,0.138637,12.30259,105.356386,1.550712,Loamy,270.0,23.1,6939.21,2.1604343722431745,1,14069.99207532254,Progressive,Bondo,dry,74.0,fair,Cassava
5.63209,0.1055,11.207471,104.240738,1.718162,Loamy,90.0,22.9,6678.67,2.820927106851884,1,17980.911332002775,Progressive,Bondo,dry,77.0,fair,Cassava
5.883139,0.109691,10.84009,132.237417,2.042475,Loamy,180.0,23.0,6725.49,1.478084986694649,1,12769.515966854193,Progressive,Bondo,dry,75.0,fair,Sorghum
5.82995,0.102572,14.971115,110.927199,1.804274,Clayey,504.0,22.7,6482.88,1.0132050587521413,0,7996.900425008465,Subsistence,Bondo,dry,76.0,fair,Sorghum
5.803289,0.133144,8.035139,117.640411,1.72769,Clayey,918.0,21.9,6760.56,1.0214975816680265,0,9161.462481598544,Mixed,Bondo,dry,82.0,fair,Rice
5.397139,0.13074,11.783008,98.719573,2.005159,Clayey,396.00000000000006,22.3,7871.24,2.199671980926248,1,13855.865370863026,Progressive,Bondo,dry,79.0,good,Cassava
5.63027,0.119643,15.06582,114.059815,1.459821,Loamy,549.0,22.5,6971.6,2.308255787609873,0,13111.867402716234,Mixed,Bondo,dry,78.0,fair,Cassava
5.677741,0.111468,12.058359,85.959923,1.99144,Clayey,36.0,23.6,6653.3,2.080150443115782,1,15560.162033155091,Progressive,Bondo,dry,69.0,fair,Cassava
6.047537,0.126685,9.810258,118.322051,1.64817,Clayey,0.0,23.9,6774.4,1.109528280205501,1,10174.663742218709,Mixed,Bondo,dry,62.0,fair,Sorghum
5.417197,0.17363,11.423955,107.700048,1.779495,Sandy,9.0,23.9,6830.46,1.769547542133688,1,15492.26498194909,Progressive,Bondo,dry,64.0,fair,Cassava
5.572363,0.120337,15.796469,133.297786,1.859236,Clayey,81.0,23.9,6862.97,1.6664183468126426,1,13331.287228029698,Progressive,Bondo,dry,71.0,fair,Cassava
5.916317,0.14783,14.478245,124.008021,1.82054,Clayey,0.0,24.6,6997.3,1.7571937394231445,1,11978.59334008598,Mixed,Bondo,dry,65.0,fair,Sorghum
5.512245,0.12185,10.760373,123.740766,1.65206,Loamy,18.0,24.1,6888.32,2.4673457174956748,1,14480.027813974846,Progressive,Bondo,dry,70.0,fair,Cassava
5.568464,0.144674,15.276734,103.582928,1.890895,Clayey,54.0,24.0,6874.81,1.761683146622319,1,14340.347785667633,Progressive,Bondo,dry,70.0,fair,Cassava
6.034795,0.138077,13.301961,118.439176,1.64324,Clayey,9.0,23.5,6678.65,2.232305823426904,1,14647.102566760195,Progressive,Bondo,dry,71.0,fair,Sorghum
5.773155,0.126624,6.306868,137.592616,1.642219,Clayey,180.0,23.1,6544.63,1.624404222315259,1,13922.613257992634,Progressive,Bondo,dry,77.0,fair,Cassava
5.871592,0.138714,11.66647,104.973493,1.714993,Loamy,0.0,24.5,6488.26,1.8227422307531853,1,13007.187229218744,Progressive,Bondo,dry,63.0,fair,Sorghum
5.844508,0.148781,15.915444,104.019439,1.825846,Clayey,0.0,24.7,6763.15,2.1777013141536563,1,15436.720352153045,Progressive,Bondo,dry,53.0,fair,Sorghum
5.723417,0.128422,11.555244,114.737585,1.525772,Loamy,0.0,24.8,6657.52,0.7351203686367206,1,8684.993297078614,Mixed,Bondo,dry,57.0,fair,Cassava
5.718291,0.123945,15.24543,117.089428,1.548132,Clayey,0.0,24.5,6923.91,1.3281287112692868,1,11884.713395991084,Mixed,Bondo,dry,67.0,fair,Cassava
5.877331,0.139177,8.7441,122.211039,1.379664,Clayey,0.0,25.2,6957.27,1.2280238112034023,1,12032.92129123424,Progressive,Bondo,dry,63.0,fair,Sorghum
5.530604,0.156557,9.020455,120.609099,1.669253,Clayey,9.0,24.5,6772.17,1.1250005436643449,1,10747.96093080314,Mixed,Bondo,dry,69.0,fair,Cassava
6.046804,0.102173,14.391656,116.900864,1.936523,Loamy,711.0,23.1,6758.2,1.3592404204723127,0,10702.01330370349,Mixed,Bondo,dry,77.0,fair,Sorghum
5.593187,0.10439,13.77464,105.633102,2.368486,Clayey,198.00000000000003,24.4,6497.54,3.412241756313274,1,18293.071646693727,Commercial,Bondo,dry,67.0,fair,Cassava
5.904618,0.152664,11.842534,138.000982,1.774671,Clayey,198.00000000000003,24.6,6793.24,0.9997678467912412,1,10697.77074337671,Mixed,Bondo,dry,69.0,fair,Sorghum
5.801181,0.117455,13.811509,132.344721,2.054466,Clayey,2007.0,21.8,6823.45,2.594787809738172,0,15125.724529368312,Mixed,Bondo,dry,83.0,fair,Rice
5.590528,0.149603,10.596145,119.87861,1.732706,Loamy,477.0,22.3,6939.16,0.6537094572268678,0,6631.043210081617,Subsistence,Bondo,long_rains,77.0,fair,Sorghum
5.796715,0.115073,9.422049,129.301044,1.747267,Clayey,36.0,23.4,6853.86,1.3176630941621992,1,8664.864528935112,Mixed,Bondo,long_rains,72.0,fair,Sorghum
5.725495,0.118765,12.750724,113.850439,1.700978,Loamy,0.0,24.5,6989.98,1.7068193236846638,1,11166.290429394505,Mixed,Bondo,long_rains,65.0,fair,Sorghum
5.346885,0.145919,11.268791,99.828265,1.717176,Clayey,1368.0,23.1,6680.17,2.127261798950982,0,13407.322821764408,Mixed,Bondo,long_rains,77.0,fair,Rice
5.682652,0.140408,12.816704,125.196272,1.718291,Loamy,9.0,24.3,6681.94,2.2701316411145664,1,15958.764565243137,Progressive,Bondo,long_rains,69.0,fair,Sorghum
5.450256,0.106783,12.354144,99.275037,1.660737,Clayey,9.0,24.2,6711.83,2.369172083604357,1,16441.745220049357,Progressive,Bondo,long_rains,73.0,fair,Sorghum
5.801498,0.13794,11.162669,139.327898,2.080503,Clayey,504.0,23.7,6648.22,1.3082141494183712,0,9685.821952590366,Mixed,Bondo,long_rains,76.0,fair,Sorghum
5.671695,0.115172,16.045276,100.991647,1.836289,Loamy,1764.0000000000002,21.8,6724.12,1.2331564081180018,0,7940.973677321503,Mixed,Bondo,long_rains,83.0,fair,Rice
5.875486,0.135043,9.617052,131.499585,1.583606,Loamy,504.0,21.8,6707.28,2.4501456168850893,0,13256.95988944606,Mixed,Bondo,long_rains,81.0,fair,Sorghum
5.560646,0.1283,12.23671,137.092039,1.854087,Loamy,108.0,23.8,6883.46,1.4198081417790014,1,9432.22626852406,Mixed,Bondo,long_rains,71.0,fair,Sorghum
5.440822,0.124123,11.694875,98.392839,1.925694,Clayey,549.0,22.9,6527.92,0.8078677673402616,0,7742.585660695174,Subsistence,Bondo,long_rains,80.0,fair,Sorghum
5.48476,0.116101,12.576159,97.226215,1.479729,Clayey,972.0,22.6,6872.81,0.8699588639375224,0,10140.642475325028,Mixed,Bondo,long_rains,82.0,fair,Rice
6.104022,0.097135,12.002645,120.786167,1.933657,Clayey,27.0,24.3,5726.29,0.9722763650799088,1,9973.284272468543,Mixed,Bondo,long_rains,71.0,low,Sorghum
6.3058,0.115855,14.275393,133.236669,1.906818,Loamy,630.0,23.4,6806.86,2.030990463075412,0,11817.8818381967,Mixed,Bondo,long_rains,79.0,fair,Sorghum
6.100266,0.139716,12.587846,123.22703,1.801227,Clayey,1215.0,22.8,6550.38,1.6888728989710695,0,11324.006853562503,Mixed,Bondo,long_rains,81.0,fair,Rice
5.391975,0.135427,10.468539,104.845066,2.042987,Clayey,351.0,22.6,6772.44,2.2457788423256475,1,15269.461258921716,Progressive,Bondo,long_rains,81.0,fair,Sorghum
5.424612,0.112227,9.641011,133.385016,1.927845,Clayey,180.0,22.7,6558.44,1.2558700808786998,1,9191.095112772968,Mixed,Bondo,long_rains,80.0,fair,Sorghum
5.486978,0.147141,10.207353,141.741631,1.64542,Clayey,216.0,22.8,6935.85,1.7030838538322834,1,13457.947987321751,Progressive,Bondo,long_rains,80.0,fair,Sorghum
5.854829,0.133858,10.11082,103.461378,1.755864,Clayey,216.0,23.1,6580.07,2.171258611823888,1,14988.95928771484,Progressive,Bondo,long_rains,79.0,fair,Sorghum
6.121573,0.138473,13.392919,119.472451,2.011073,Loamy,198.00000000000003,23.2,6639.25,1.335278386525336,1,11403.479150542636,Mixed,Bondo,long_rains,77.0,fair,Sorghum
5.880959,0.108722,11.7183,122.445057,1.635454,Loamy,9.0,24.4,6784.36,1.988783456744232,1,16738.843237114677,Progressive,Bondo,long_rains,71.0,fair,Sorghum
5.737992,0.159929,12.77006,111.546591,1.650824,Loamy,18.0,25.4,6893.05,1.1115978788014724,1,10547.18285645231,Mixed,Bondo,long_rains,62.0,fair,Sorghum
5.515106,0.136136,8.869271,104.139854,1.787454,Clayey,0.0,24.8,6716.46,1.2985029185969277,1,13640.821689382774,Progressive,Bondo,long_rains,61.0,fair,Sorghum
5.642869,0.155197,11.205037,102.138862,1.68681,Loamy,252.0,24.2,6658.65,1.2859481357726648,1,10408.423879673252,Mixed,Bondo,long_rains,75.0,fair,Sorghum
5.717727,0.116221,12.962902,93.581509,2.226219,Sandy,1674.0000000000002,21.4,6853.84,0.8421167505797056,0,5924.764634106811,Subsistence,Bondo,long_rains,83.0,fair,Rice
5.876534,0.094659,14.188005,125.269079,2.004411,Clayey,612.0,21.4,6691.39,2.020258937357445,0,11713.281218524558,Mixed,Bondo,long_rains,82.0,fair,Sorghum
5.600188,0.110594,8.63224,108.739812,2.169293,Loamy,162.0,22.1,6892.23,1.2286435833270122,1,12568.237116006325,Progressive,Bondo,long_rains,80.0,fair,Sorghum
5.780238,0.146357,15.349448,134.829234,1.976838,Clayey,135.0,22.9,6693.22,1.5785345896114225,1,11719.5583962349,Mixed,Bondo,long_rains,79.0,fair,Sorghum
5.755017,0.107284,15.070165,121.41973,1.774179,Clayey,684.0,22.9,6602.02,2.013729071450733,0,10946.361143138914,Mixed,Bondo,long_rains,80.0,fair,Sorghum
5.720068,0.154486,14.138998,113.87097,1.333495,Clayey,486.00000000000006,22.8,6530.79,1.9782175491093552,0,12916.844466165254,Mixed,Bondo,long_rains,81.0,fair,Sorghum
5.620909,0.114599,14.683923,132.294693,1.801433,Loamy,315.0,22.7,7553.29,2.216657114330649,1,14849.777498959837,Progressive,Bondo,long_rains,79.0,good,Sorghum
5.724192,0.134623,11.067696,113.949075,1.506077,Loamy,270.0,23.0,6719.15,1.490017027962919,1,12947.422595504731,Progressive,Bondo,long_rains,81.0,fair,Sorghum
5.680821,0.131866,10.145173,108.076997,1.416715,Clayey,675.0,23.0,6906.78,1.2584551253880516,0,8679.58210895348,Mixed,Bondo,long_rains,80.0,fair,Sorghum
5.543631,0.122059,12.086802,123.630823,1.965114,Loamy,729.0,22.9,6878.78,1.5046292620232278,0,9411.465064552522,Mixed,Bondo,long_rains,80.0,fair,Sorghum
5.876904,0.122168,12.562318,108.134934,1.508388,Clayey,765.0,21.2,6589.56,0.6521935497535106,0,8930.473996371102,Subsistence,Bondo,long_rains,86.0,fair,Sorghum
6.014935,0.109902,10.524588,116.725487,1.585003,Loamy,765.0,21.6,6589.4,0.738969607309328,0,6304.485005692663,Subsistence,Bondo,long_rains,83.0,fair,Sorghum
5.734022,0.162901,13.19639,118.951133,1.632104,Clayey,657.0,21.6,6589.55,0.788357352875689,0,6508.533230331861,Subsistence,Bondo,long_rains,81.0,fair,Sorghum
5.690801,0.136944,15.001027,115.300769,1.756408,Loamy,827.9999999999999,22.4,6755.63,0.9337296371722948,0,8675.674521946332,Subsistence,Bondo,long_rains,76.0,fair,Sorghum
5.851753,0.098381,13.869879,119.130223,1.714886,Loamy,855.0,21.8,7016.92,1.930699935199054,0,8965.004723786873,Mixed,Bondo,long_rains,81.0,fair,Sorghum
5.737058,0.103196,12.003899,119.146591,1.876835,Sandy,639.0,22.1,6736.35,0.979366731254656,0,9192.688105007444,Mixed,Bondo,long_rains,81.0,fair,Sorghum
5.928069,0.137171,6.531033,116.69442,1.842783,Loamy,1565.9999999999998,22.7,6967.77,1.288341164527686,0,11757.19751493242,Mixed,Bondo,long_rains,80.0,fair,Rice
5.721269,0.127413,8.52096,108.128989,1.412532,Sandy,3078.0000000000005,22.8,6835.54,3.082061572659504,0,18182.95719837967,Commercial,Bondo,long_rains,80.0,fair,Rice
5.817233,0.094921,11.693155,102.011498,2.033914,Clayey,279.0,23.1,6812.05,1.3030956918012837,1,10223.692858670242,Mixed,Bondo,long_rains,81.0,fair,Sorghum
6.046696,0.173303,13.312625,105.531889,1.497426,Loamy,315.0,23.3,6662.36,2.30137804980178,1,14797.83840764028,Progressive,Bondo,long_rains,79.0,fair,Sorghum
5.953538,0.077403,8.771343,106.287471,1.523941,Clayey,369.0,22.7,6583.85,0.9651408848799062,1,10130.80352478942,Mixed,Bondo,long_rains,82.0,fair,Sorghum
5.668634,0.119261,12.11096,122.278873,2.077524,Clayey,1773.0,21.2,6607.1,1.4094118220940297,0,10557.71996357691,Mixed,Bondo,long_rains,86.0,fair,Rice
5.916283,0.127922,13.464987,135.068006,1.709198,Loamy,270.0,21.8,6885.59,0.956942982658319,1,11955.922712337951,Mixed,Bondo,long_rains,83.0,fair,Sorghum
5.486438,0.115305,11.757276,114.283756,1.950506,Loamy,333.0,22.6,6709.83,1.3148239791778884,1,13404.941892172155,Progressive,Bondo,long_rains,82.0,fair,Sorghum
5.65981,0.142939,10.533337,129.118699,1.86704,Sandy,351.0,23.2,6980.83,2.42773865997108,1,15938.212106294752,Progressive,Bondo,long_rains,81.0,fair,Sorghum
5.866714,0.136811,8.638335,105.916061,1.813601,Sandy,297.0,23.7,6531.04,0.6387726871448256,1,8045.28963587247,Mixed,Bondo,long_rains,78.0,fair,Sorghum
6.005957,0.130132,13.599605,112.598357,1.581358,Loamy,585.0,23.3,6707.1,1.9658019805316287,0,11518.424392306397,Mixed,Bondo,long_rains,80.0,fair,Sorghum
5.549714,0.126287,10.460208,112.290962,1.681797,Clayey,62.99999999999999,23.1,6742.62,1.7746842383459605,1,14227.043419401334,Progressive,Bondo,long_rains,81.0,fair,Sorghum
5.694537,0.13725,15.521889,121.441299,2.057155,Loamy,1062.0,22.1,6493.73,1.1514730353627822,0,10332.070992541572,Mixed,Bondo,long_rains,83.0,fair,Rice
5.700608,0.123808,12.289539,106.926607,1.583323,Clayey,198.00000000000003,22.1,5623.35,0.7393749704009631,1,9187.305865265926,Mixed,Bondo,long_rains,81.0,low,Sorghum
5.681561,0.100376,12.712345,123.227549,1.734911,Loamy,342.0,22.8,6521.78,1.6282524840060992,1,12837.198861454086,Progressive,Bondo,long_rains,81.0,fair,Sorghum
5.456763,0.144996,13.731841,118.519879,1.824279,Loamy,765.0,22.3,5578.0,1.1908457765742806,0,11737.230640563976,Mixed,Bondo,long_rains,83.0,low,Sorghum
5.800146,0.159082,11.098305,116.283326,1.64173,Clayey,396.00000000000006,23.2,6791.59,1.77002138760333,1,14250.080638475798,Progressive,Bondo,long_rains,77.0,fair,Sorghum
5.444878,0.129102,12.933778,107.467076,1.582117,Clayey,243.00000000000003,22.8,7008.75,1.58623473340978,1,10198.70485580339,Mixed,Bondo,long_rains,78.0,fair,Sorghum
5.927557,0.129474,10.479768,94.373226,1.684657,Clayey,423.0,22.2,6671.66,3.6071753822503103,0,19309.00756509684,Commercial,Bondo,long_rains,82.0,fair,Sorghum
5.96996,0.126944,10.138674,108.892786,1.680385,Clayey,1071.0,22.9,6639.2,1.384771402560838,0,10257.802740161897,Mixed,Bondo,long_rains,79.0,fair,Rice
5.5723,0.103865,9.894838,123.267574,1.420148,Clayey,927.0,22.8,6926.57,0.9210705020832588,0,7745.16941423943,Subsistence,Bondo,long_rains,77.0,fair,Rice
5.446182,0.11781,10.823725,93.059855,1.775488,Clayey,981.0,22.4,6624.57,1.7215470430073758,0,12944.603581949665,Mixed,Bondo,long_rains,82.0,fair,Rice
5.69356,0.14193,16.428661,95.332201,1.985965,Sandy,810.0,22.6,6844.41,1.7583893986350134,0,11189.501447646791,Mixed,Bondo,long_rains,81.0,fair,Sorghum
5.596015,0.132182,9.911723,110.745604,1.050569,Clayey,522.0,23.1,6505.11,3.1796703857025737,0,16373.01054883768,Mixed,Bondo,long_rains,78.0,fair,Sorghum
5.658064,0.158513,13.250322,104.067056,1.7568,Sandy,351.0,23.3,6624.86,2.4211868355844466,1,15316.772262502003,Progressive,Bondo,long_rains,77.0,fair,Sorghum
5.718312,0.141075,11.400637,152.707759,1.119637,Loamy,477.0,23.7,6492.75,1.8881036220125345,0,12939.43404118381,Mixed,Bondo,long_rains,75.0,fair,Sorghum
5.513949,0.120309,9.400765,117.024881,2.015425,Clayey,945.0,23.2,6922.86,3.3565628981687023,0,16671.692003288983,Mixed,Bondo,long_rains,79.0,fair,Rice
6.03181,0.139786,13.641165,109.287637,1.601803,Loamy,612.0,24.3,6826.5,0.8452213035280133,0,7158.374259848143,Subsistence,Bondo,long_rains,70.0,fair,Sorghum
5.571765,0.12412,10.792442,127.758808,1.722154,Loamy,954.0,22.9,7592.36,1.1244895540652522,0,9939.48997582088,Mixed,Bondo,long_rains,81.0,good,Rice
5.887085,0.098048,10.918153,113.322643,1.517676,Clayey,1134.0,22.3,6730.17,0.9686814234365544,0,6636.040353620674,Subsistence,Bondo,long_rains,82.0,fair,Rice
5.522028,0.146518,14.282727,113.068331,2.11524,Clayey,117.0,23.0,6644.38,1.2805618185279992,1,10133.634916240013,Mixed,Bondo,long_rains,76.0,fair,Sorghum
5.712273,0.136839,11.323347,135.994616,2.136725,Clayey,1269.0,22.1,6956.5,0.7665335611254809,0,5385.326618567407,Subsistence,Bondo,long_rains,81.0,fair,Rice
5.790062,0.180652,12.392566,89.101271,1.497683,Clayey,1278.0,21.0,6907.56,2.182079873424829,0,12290.071880683918,Mixed,Bondo,long_rains,87.0,fair,Rice
5.727127,0.118059,11.838901,102.505544,1.474456,Clayey,990.0,21.7,6665.15,1.3971636223569488,0,9441.142695303137,Mixed,Bondo,long_rains,82.0,fair,Rice
5.649213,0.140931,11.693332,120.458297,1.887627,Loamy,657.0,22.3,6527.73,0.72992077863873,0,6980.95359414914,Subsistence,Bondo,long_rains,80.0,fair,Sorghum
5.6014,0.114396,8.996787,102.619526,1.892293,Clayey,360.0,22.8,6585.42,0.9248708968090262,1,8784.383656035974,Mixed,Bondo,long_rains,78.0,fair,Sorghum
5.618642,0.112117,13.78746,102.470976,1.642349,Clayey,1242.0,22.4,6944.23,1.84601119527344,0,11494.601004414506,Mixed,Bondo,long_rains,82.0,fair,Rice
5.564967,0.169695,12.388372,123.994981,1.508577,Clayey,252.0,23.1,6516.88,2.4249861555099264,1,17360.550957890453,Progressive,Bondo,long_rains,79.0,fair,Sorghum
5.766606,0.0906,13.690327,105.964503,2.020368,Clayey,153.0,23.1,6736.19,4.429559146665802,1,25004.85701324344,Commercial,Bondo,long_rains,81.0,fair,Sorghum
6.066251,0.127012,12.153713,118.50394,1.665927,Clayey,324.0,22.8,6790.66,7.136400248385262,1,30000.0,Commercial,Bondo,long_rains,79.0,fair,Sorghum
5.771859,0.158986,14.223494,111.03852,1.654292,Sandy,0.0,23.8,6908.17,1.9454492072787213,1,13363.274678772814,Progressive,Bondo,long_rains,71.0,fair,Sorghum
5.819157,0.099824,12.233552,118.279139,1.743739,Loamy,27.0,23.9,7001.13,0.9374800302636304,1,9398.383508872656,Mixed,Bondo,long_rains,74.0,fair,Sorghum
5.916451,0.118432,14.918852,112.90436,1.423499,Clayey,36.0,23.7,6759.75,0.5175422751954185,1,8358.68516856487,Mixed,Bondo,long_rains,77.0,fair,Sorghum
5.609794,0.143925,9.907829,124.119568,1.593251,Clayey,81.0,23.8,6982.8,1.80256375598842,1,12953.401029634097,Progressive,Bondo,long_rains,75.0,fair,Sorghum
5.339132,0.105929,10.16069,125.491164,1.517297,Clayey,72.0,23.9,6730.64,1.027645877388618,1,10284.206257206846,Mixed,Bondo,long_rains,75.0,fair,Sorghum
5.700587,0.1335,15.831586,105.688111,1.321867,Loamy,108.0,23.2,6695.81,1.2636624673077252,1,9006.164071573929,Mixed,Bondo,long_rains,77.0,fair,Sorghum
5.870993,0.113339,13.719516,94.691511,1.546504,Clayey,324.0,22.7,6971.39,1.1407770630901826,1,10346.428949520645,Mixed,Bondo,long_rains,80.0,fair,Sorghum
6.10206,0.15166,16.004267,112.400002,1.707214,Loamy,153.0,23.7,6506.34,1.4575963436731774,1,13175.174463138756,Progressive,Bondo,long_rains,71.0,fair,Sorghum
5.503957,0.151018,13.248437,107.049182,1.558283,Loamy,387.0,22.6,6503.39,2.7300221426084854,1,19750.500687337983,Progressive,Bondo,long_rains,79.0,fair,Sorghum
5.919958,0.11893,11.288242,105.466247,1.689178,Clayey,144.0,23.0,6530.29,1.7017638212027602,1,14885.954880297582,Progressive,Bondo,long_rains,77.0,fair,Sorghum
5.752204,0.075874,16.008086,93.222981,1.503814,Loamy,495.0,22.4,7000.02,1.4441340733486685,0,10416.418344626334,Mixed,Bondo,long_rains,80.0,fair,Sorghum
5.622235,0.136849,7.899278,109.121065,1.839338,Clayey,171.0,23.2,6660.17,0.9152665437622142,1,10421.544644140504,Mixed,Bondo,long_rains,75.0,fair,Sorghum
5.490803,0.145976,13.659753,114.509308,1.914462,Clayey,117.0,23.4,6580.45,0.6564983285485457,1,9153.89337172304,Mixed,Bondo,dry,77.0,fair,Cassava
5.58322,0.137002,6.312219,106.911088,1.849504,Clayey,234.0,23.5,6938.42,1.2178900414806026,1,10449.98150447297,Mixed,Bondo,dry,75.0,fair,Cassava
