ward,sub_county,ward_code,lat,lon,soil_match_level,soil_type,soil_ph,organic_matter,nitrogen,phosphorus,potassium,target_crop,yield_kg_per_ha,soil_data_note
South Uyoma,Rarieda,1184,-0.344221,34.327816,ward,clay,5.5,2.0,0.15,10.5,110.0,Cassava,8700.0,"Soil values from KALRO Western Kenya Soil Survey, AfSIS SoilGrids 2.0, Kenya Soil Survey Bulletin No.2, and Siaya CIDP 2018-2022. Crop yields from CIMMYT/IITA Western Kenya benchmarks."
East Gem,Gem,1173,0.028138,34.516421,ward,loam,6.0,1.6,0.12,10.0,100.0,Beans,920.0,"Soil values from KALRO Western Kenya Soil Survey, AfSIS SoilGrids 2.0, Kenya Soil Survey Bulletin No.2, and Siaya CIDP 2018-2022. Crop yields from CIMMYT/IITA Western Kenya benchmarks."
West Gem,Gem,1170,0.03441,34.419607,ward,sandy-loam,5.9,1.4,0.1,8.5,93.0,Millet,1000.0,"Soil values from KALRO Western Kenya Soil Survey, AfSIS SoilGrids 2.0, Kenya Soil Survey Bulletin No.2, and Siaya CIDP 2018-2022. Crop yields from CIMMYT/IITA Western Kenya benchmarks."
Central Alego,Alego Usonga,1165,0.080131,34.229459,sub_county,loam,6.5,2.1,0.18,18.0,140.0,Maize,3200.0,"Soil values from KALRO Western Kenya Soil Survey, AfSIS SoilGrids 2.0, Kenya Soil Survey Bulletin No.2, and Siaya CIDP 2018-2022. Crop yields from CIMMYT/IITA Western Kenya benchmarks."
Ugunja,Ugunja,1162,0.198933,34.283786,ward,loam,6.1,1.7,0.13,11.5,108.0,Maize,2800.0,"Soil values from KALRO Western Kenya Soil Survey, AfSIS SoilGrids 2.0, Kenya Soil Survey Bulletin No.2, and Siaya CIDP 2018-2022. Crop yields from CIMMYT/IITA Western Kenya benchmarks."
North Alego,Alego Usonga,1167,0.096777,34.326061,sub_county,loam,6.5,2.1,0.18,18.0,140.0,Maize,3200.0,"Soil values from KALRO Western Kenya Soil Survey, AfSIS SoilGrids 2.0, Kenya Soil Survey Bulletin No.2, and Siaya CIDP 2018-2022. Crop yields from CIMMYT/IITA Western Kenya benchmarks."
East Asembo,Rarieda,1181,-0.128855,34.397763,ward,clay,5.6,1.8,0.14,10.0,107.0,Cassava,8400.0,"Soil values from KALRO Western Kenya Soil Survey, AfSIS SoilGrids 2.0, Kenya Soil Survey Bulletin No.2, and Siaya CIDP 2018-2022. Crop yields from CIMMYT/IITA Western Kenya benchmarks."
East Ugenya,Ugenya,1159,0.256636,34.329601,ward,sandy-loam,6.1,1.4,0.1,8.5,91.0,Groundnuts,760.0,"Soil values from KALRO Western Kenya Soil Survey, AfSIS SoilGrids 2.0, Kenya Soil Survey Bulletin No.2, and Siaya CIDP 2018-2022. Crop yields from CIMMYT/IITA Western Kenya benchmarks."
North Sakwa,Bondo,1180,-0.094527,34.30832,ward,clay-loam,5.9,1.6,0.12,11.5,112.0,Sorghum,1780.0,"Soil values from KALRO Western Kenya Soil Survey, AfSIS SoilGrids 2.0, Kenya Soil Survey Bulletin No.2, and Siaya CIDP 2018-2022. Crop yields from CIMMYT/IITA Western Kenya benchmarks."
Yala Township,Gem,1172,0.100621,34.528844,ward,loam,6.1,1.6,0.12,11.0,102.0,Maize,2600.0,"Soil values from KALRO Western Kenya Soil Survey, AfSIS SoilGrids 2.0, Kenya Soil Survey Bulletin No.2, and Siaya CIDP 2018-2022. Crop yields from CIMMYT/IITA Western Kenya benchmarks."
Sidindi,Ugunja,1160,0.174947,34.380237,ward,loam,6.0,1.5,0.12,10.5,100.0,Millet,1060.0,"Soil values from KALRO Western Kenya Soil Survey, AfSIS SoilGrids 2.0, Kenya Soil Survey Bulletin No.2, and Siaya CIDP 2018-2022. Crop yields from CIMMYT/IITA Western Kenya benchmarks."
South Gem,Gem,1174,-0.025764,34.437919,ward,sandy-loam,5.9,1.4,0.11,9.0,94.0,Groundnuts,720.0,"Soil values from KALRO Western Kenya Soil Survey, AfSIS SoilGrids 2.0, Kenya Soil Survey Bulletin No.2, and Siaya CIDP 2018-2022. Crop yields from CIMMYT/IITA Western Kenya benchmarks."
West Ugenya,Ugenya,1156,0.209653,34.151466,ward,loam,6.2,1.5,0.11,9.5,98.0,Maize,2500.0,"Soil values from KALRO Western Kenya Soil Survey, AfSIS SoilGrids 2.0, Kenya Soil Survey Bulletin No.2, and Siaya CIDP 2018-2022. Crop yields from CIMMYT/IITA Western Kenya benchmarks."
Usonga,Alego Usonga,1163,0.071069,34.100721,sub_county,loam,6.5,2.1,0.18,18.0,140.0,Maize,3200.0,"Soil values from KALRO Western Kenya Soil Survey, AfSIS SoilGrids 2.0, Kenya Soil Survey Bulletin No.2, and Siaya CIDP 2018-2022. Crop yields from CIMMYT/IITA Western Kenya benchmarks."
West Uyoma,Rarieda,1185,-0.280406,34.295697,ward,clay,5.6,1.9,0.14,10.0,106.0,Cassava,8300.0,"Soil values from KALRO Western Kenya Soil Survey, AfSIS SoilGrids 2.0, Kenya Soil Survey Bulletin No.2, and Siaya CIDP 2018-2022. Crop yields from CIMMYT/IITA Western Kenya benchmarks."
Yimbo East,Bondo,1178,-0.017855,34.13625,ward,clay,5.6,1.8,0.13,11.5,112.0,Sorghum,1700.0,"Soil values from KALRO Western Kenya Soil Survey, AfSIS SoilGrids 2.0, Kenya Soil Survey Bulletin No.2, and Siaya CIDP 2018-2022. Crop yields from CIMMYT/IITA Western Kenya benchmarks."
