date,sub_county,season,temperature_2m_mean,precipitation_sum,relative_humidity_2m_mean,soil_moisture_0_to_7cm_mean,soil_temperature_0_to_7cm_mean,soil_type,soil_ph_avg,organic_matter_avg,market_retail_avg,market_signal,target_crop,yield_kg_per_ha
2000-06-11,Bondo,dry,23.1,0.2,69,0.321,24.0,clay-loam,5.7,1.7,67.5,fair,Sorghum,1800.0
2000-06-12,Bondo,dry,23.5,0.9,69,0.305,24.2,clay-loam,5.7,1.7,67.5,fair,Sorghum,1800.0
2000-06-13,Bondo,dry,23.3,3.7,69,0.298,24.0,clay-loam,5.7,1.7,67.5,fair,Sorghum,1800.0
2000-06-14,Bondo,dry,23.3,0.0,65,0.291,24.0,clay-loam,5.7,1.7,67.5,fair,Sorghum,1800.0
2000-06-15,Bondo,dry,22.6,4.5,72,0.291,23.8,clay-loam,5.7,1.7,67.5,fair,Sorghum,1800.0
2000-06-16,Bondo,dry,22.3,6.5,74,0.303,23.4,clay-loam,5.7,1.7,67.5,fair,Sorghum,1800.0
2000-06-17,Bondo,dry,22.7,2.2,69,0.324,23.5,clay-loam,5.7,1.7,67.5,fair,Sorghum,1800.0
2000-06-18,Bondo,dry,23.0,0.2,67,0.307,23.5,clay-loam,5.7,1.7,67.5,fair,Sorghum,1800.0
2000-06-19,Bondo,dry,23.3,0.0,64,0.289,23.8,clay-loam,5.7,1.7,67.5,fair,Sorghum,1800.0
2000-06-20,Bondo,dry,22.9,2.3,71,0.279,24.0,clay-loam,5.7,1.7,67.5,fair,Sorghum,1800.0
2000-06-21,Bondo,dry,22.3,10.1,78,0.317,23.2,clay-loam,5.7,1.7,67.5,fair,Sorghum,1800.0
2000-06-22,Bondo,dry,22.4,2.7,75,0.323,23.6,clay-loam,5.7,1.7,67.5,fair,Sorghum,1800.0
2000-06-23,Bondo,dry,22.3,2.6,70,0.31,23.4,clay-loam,5.7,1.7,67.5,fair,Sorghum,1800.0
2000-06-24,Bondo,dry,22.2,1.2,71,0.299,23.3,clay-loam,5.7,1.7,67.5,fair,Sorghum,1800.0
2000-06-25,Bondo,dry,20.8,6.7,81,0.344,22.2,clay-loam,5.7,1.7,67.5,fair,Sorghum,1800.0
2000-06-26,Bondo,dry,20.8,8.5,81,0.36,22.1,clay-loam,5.7,1.7,67.5,fair,Sorghum,1800.0
2000-06-27,Bondo,dry,21.4,4.8,77,0.345,22.6,clay-loam,5.7,1.7,67.5,fair,Sorghum,1800.0
2000-06-28,Bondo,dry,21.7,2.3,77,0.353,22.8,clay-loam,5.7,1.7,67.5,fair,Sorghum,1800.0
2000-06-29,Bondo,dry,22.0,2.9,73,0.345,23.2,clay-loam,5.7,1.7,67.5,fair,Sorghum,1800.0
2000-06-30,Bondo,dry,21.8,1.8,73,0.332,23.2,clay-loam,5.7,1.7,67.5,fair,Sorghum,1800.0
2000-07-01,Bondo,dry,21.7,4.7,76,0.326,23.1,clay-loam,5.7,1.7,67.5,fair,Sorghum,1800.0
2000-07-02,Bondo,dry,21.8,4.5,74,0.328,23.0,clay-loam,5.7,1.7,67.5,fair,Sorghum,1800.0
2000-07-03,Bondo,dry,22.0,1.6,71,0.329,23.0,clay-loam,5.7,1.7,67.5,fair,Sorghum,1800.0
2000-07-04,Bondo,dry,21.4,7.1,76,0.338,22.7,clay-loam,5.7,1.7,67.5,fair,Sorghum,1800.0
2000-07-05,Bondo,dry,21.6,2.6,74,0.34,22.8,clay-loam,5.7,1.7,67.5,fair,Sorghum,1800.0
2000-07-06,Bondo,dry,21.2,1.9,74,0.34,22.0,clay-loam,5.7,1.7,67.5,fair,Sorghum,1800.0
2000-07-07,Bondo,dry,22.0,0.5,75,0.323,22.9,clay-loam,5.7,1.7,67.5,fair,Sorghum,1800.0
2000-07-08,Bondo,dry,22.2,0.4,74,0.311,23.0,clay-loam,5.7,1.7,67.5,fair,Sorghum,1800.0
2000-07-09,Bondo,dry,22.5,2.0,71,0.303,23.5,clay-loam,5.7,1.7,67.5,fair,Sorghum,1800.0
2000-07-10,Bondo,dry,22.2,3.4,74,0.297,23.3,clay-loam,5.7,1.7,67.5,fair,Sorghum,1800.0
2000-07-11,Bondo,dry,22.6,0.7,69,0.292,23.5,clay-loam,5.7,1.7,67.5,fair,Sorghum,1800.0
2000-07-12,Bondo,dry,22.5,0.7,71,0.287,23.7,clay-loam,5.7,1.7,67.5,fair,Sorghum,1800.0
2000-07-13,Bondo,dry,22.4,0.1,71,0.281,23.6,clay-loam,5.7,1.7,67.5,fair,Sorghum,1800.0
2000-07-14,Bondo,dry,23.1,0.1,69,0.271,24.1,clay-loam,5.7,1.7,67.5,fair,Sorghum,1800.0
2000-07-15,Bondo,dry,23.0,0.2,72,0.261,24.4,clay-loam,5.7,1.7,67.5,fair,Sorghum,1800.0
2000-07-16,Bondo,dry,22.8,1.0,76,0.256,24.1,clay-loam,5.7,1.7,67.5,fair,Sorghum,1800.0
2000-07-17,Bondo,dry,23.7,0.0,65,0.25,24.3,clay-loam,5.7,1.7,67.5,fair,Sorghum,1800.0
2000-07-18,Bondo,dry,21.9,5.8,77,0.254,23.5,clay-loam,5.7,1.7,67.5,fair,Sorghum,1800.0
2000-07-19,Bondo,dry,22.4,0.3,71,0.255,23.8,clay-loam,5.7,1.7,67.5,fair,Sorghum,1800.0
2000-07-20,Bondo,dry,22.5,0.1,70,0.246,23.6,clay-loam,5.7,1.7,67.5,fair,Sorghum,1800.0
2000-07-21,Bondo,dry,22.5,0.3,72,0.239,23.8,clay-loam,5.7,1.7,67.5,fair,Sorghum,1800.0
2000-07-22,Bondo,dry,21.5,3.5,75,0.241,23.3,clay-loam,5.7,1.7,67.5,fair,Sorghum,1800.0
2000-07-23,Bondo,dry,21.5,0.2,74,0.251,23.0,clay-loam,5.7,1.7,67.5,fair,Sorghum,1800.0
2000-07-24,Bondo,dry,22.0,0.9,67,0.248,23.3,clay-loam,5.7,1.7,67.5,fair,Sorghum,1800.0
2000-07-25,Bondo,dry,21.7,5.7,70,0.246,23.3,clay-loam,5.7,1.7,67.5,fair,Sorghum,1800.0
2000-07-26,Bondo,dry,21.3,3.8,76,0.282,23.2,clay-loam,5.7,1.7,67.5,fair,Sorghum,1800.0
